Storage (ac-ft),Q (CFS)
19910,0
62070,485.22
63380,500.32
64680,1001.25
65980,1030.56
67280,1546.73
68690,1598.23
70040,2132.13
71240,2187.88
72490,2736.25
74750,2804.17
75850,3230.2
77530,5995.08
85670,11649.97
86120,12526.76
89100,26460.59
95960,39860.38
109960,69749
134460,89500.7
162460,106306.76
