Elevation (ft),Storage (ac-ft),Elevation (ft),Storage (ac-ft)
1233.1,62620,1233.1,62620
1233.11,62650,1233.11,62650
1233.12,62700,1233.12,62700
1233.13,62750,1233.13,62750
1233.14,62800,1233.14,62800
1233.15,62860,1233.15,62860
1233.16,62910,1233.16,62910
1233.17,62960,1233.17,62960
1233.18,63010,1233.18,63010
1233.19,63060,1233.19,63060
1233.2,63120,1233.2,63120
1233.21,63170,1233.21,63170
1233.22,63220,1233.22,63220
1233.24,63320,1233.24,63320
1233.25,63380,1233.25,63380
1233.26,63430,1233.26,63430
1233.27,63480,1233.27,63480
1233.28,63530,1233.28,63530
1233.29,63580,1233.29,63580
1233.3,63640,1233.3,63640
1233.31,63690,1233.31,63690
1233.32,63740,1233.32,63740
1233.33,63790,1233.33,63790
1233.34,63840,1233.34,63840
1233.35,63900,1233.35,63900
1233.36,63950,1233.36,63950
1233.37,64000,1233.37,64000
1233.38,64050,1233.38,64050
1233.39,64110,1233.39,64110
1233.4,64160,1233.4,64160
1233.41,64210,1233.41,64210
1233.42,64260,1233.42,64260
1233.43,64310,1233.43,64310
1233.44,64370,1233.44,64370
1233.45,64420,1233.45,64420
1233.46,64470,1233.46,64470
1233.47,64520,1233.47,64520
1233.48,64570,1233.48,64570
1233.49,64630,1233.49,64630
1233.5,64680,1233.5,64680
1233.51,64730,1233.51,64730
1233.52,64780,1233.52,64780
1233.53,64830,1233.53,64830
1233.54,64890,1233.54,64890
1233.55,64940,1233.55,64940
1233.56,64990,1233.56,64990
1233.57,65040,1233.57,65040
1233.58,65090,1233.58,65090
1233.59,65150,1233.59,65150
1233.6,65200,1233.6,65200
1233.61,65250,1233.61,65250
1233.62,65300,1233.62,65300
1233.63,65360,1233.63,65360
1233.64,65410,1233.64,65410
1233.65,65460,1233.65,65460
1233.66,65510,1233.66,65510
1233.67,65560,1233.67,65560
1233.68,65620,1233.68,65620
1233.69,65670,1233.69,65670
1233.7,65720,1233.7,65720
1233.71,65770,1233.71,65770
1233.72,65820,1233.72,65820
1233.73,65880,1233.73,65880
1233.74,65930,1233.74,65930
1233.75,65980,1233.75,65980
1233.76,66030,1233.76,66030
1233.77,66080,1233.77,66080
1233.78,66140,1233.78,66140
1233.79,66190,1233.79,66190
1233.8,66240,1233.8,66240
1233.81,66290,1233.81,66290
1233.82,66340,1233.82,66340
1233.83,66400,1233.83,66400
1233.84,66450,1233.84,66450
1233.85,66500,1233.85,66500
1233.86,66550,1233.86,66550
1233.87,66600,1233.87,66600
1233.88,66660,1233.88,66660
1233.89,66710,1233.89,66710
1233.9,66760,1233.9,66760
1233.91,66810,1233.91,66810
1233.92,66870,1233.92,66870
1233.93,66920,1233.93,66920
1233.94,66970,1233.94,66970
1233.95,67020,1233.95,67020
1233.96,67070,1233.96,67070
1233.97,67130,1233.97,67130
1233.98,67180,1233.98,67180
1234,67280,1234,67280
1234.01,67330,1234.01,67330
1234.02,67390,1234.02,67390
1234.06,67590,1234.06,67590
1234.09,67750,1234.09,67750
1234.1,67800,1234.1,67800
1234.11,67850,1234.11,67850
1234.13,67960,1234.13,67960
1234.14,68010,1234.14,68010
1234.15,68060,1234.15,68060
1234.2,68320,1234.2,68320
1234.21,68380,1234.21,68380
1234.22,68430,1234.22,68430
1234.27,68690,1234.27,68690
1234.28,68740,1234.28,68740
1234.33,69000,1234.33,69000
1234.34,69050,1234.34,69050
1234.38,69260,1234.38,69260
1234.39,69310,1234.39,69310
1234.42,69470,1234.42,69470
1234.43,69520,1234.43,69520
1234.45,69630,1234.45,69630
1234.53,70040,1234.53,70040
1234.54,70090,1234.54,70090
1234.66,70720,1234.66,70720
1234.67,70770,1234.67,70770
1234.7,70930,1234.7,70930
1234.76,71240,1234.76,71240
1234.83,71600,1234.83,71600
1234.94,72180,1234.94,72180
1235,72490,1235,72490
1235.02,72620,1235.02,72620
1235.18,73650,1235.18,73650
1235.21,73850,1235.21,73850
1235.35,74750,1235.35,74750
1235.43,75270,1235.43,75270
1235.52,75850,1235.52,75850
1235.56,76110,1235.56,76110
1235.67,76820,1235.67,76820
1235.78,77530,1235.78,77530
1236.04,79210,1236.04,79210
1236.19,80180,1236.19,80180
1236.32,81020,1236.32,81020
1237.04,85670,1237.04,85670
1237.11,86120,1237.11,86120
1237.17,86510,1237.17,86510
1237.19,86640,1237.19,86640
1237.24,86960,1237.24,86960
1237.33,87550,1237.33,87550
1237.34,87610,1237.34,87610
1237.42,88130,1237.42,88130
1237.47,88450,1237.47,88450
1237.51,88710,1237.51,88710
1237.57,89100,1237.57,89100
1237.58,89160,1237.58,89160
1237.65,89610,1237.65,89610
1237.69,89870,1237.69,89870
1237.73,90130,1237.73,90130
1237.8,90580,1237.8,90580
1237.81,90650,1237.81,90650
1237.85,90910,1237.85,90910
1237.88,91100,1237.88,91100
1237.9,91230,1237.9,91230
1237.94,91490,1237.94,91490
1237.97,91680,1237.97,91680
1237.98,91750,1237.98,91750
1238.01,91940,1238.01,91940
1238.02,92010,1238.02,92010
1238.04,92130,1238.04,92130
1238.06,92260,1238.06,92260
1238.07,92330,1238.07,92330
1238.08,92390,1238.08,92390
1238.09,92460,1238.09,92460
1238.1899999999998,93160.00000000064,1238.19,93160
1238.2899999999997,93860.00000000128,1238.29,93860
1238.3899999999996,94560.00000000192,1238.39,94560
1238.4899999999996,95260.00000000256,1238.49,95260
1238.5899999999995,95960,1238.59,95960
1238.6899999999994,96660.00000000384,1238.69,96660
1238.7899999999993,97360.00000000448,1238.79,97360
1238.8899999999992,98060.00000000512,1238.89,98060
1238.989999999999,98760.00000000576,1238.99,98760
1239.089999999999,99460,1239.09,99460
1239.189999999999,100160.00000000704,1239.19,100160
1239.2899999999988,100860.00000000768,1239.29,100860
1239.3899999999987,101560.00000000832,1239.39,101560
1239.4899999999986,102260.00000000896,1239.49,102260
1239.5899999999986,102960.0000000096,1239.59,102960
1239.6899999999985,103660.00000001024,1239.69,103660
1239.7899999999984,104360.00000001088,1239.79,104360
1239.8899999999983,105060.00000001153,1239.89,105060
1239.9899999999982,105760.00000001217,1239.99,105760
1240.089999999998,106460.0000000128,1240.09,106460
1240.189999999998,107160.00000001345,1240.19,107160
1240.289999999998,107860.00000001409,1240.29,107860
1240.3899999999978,108560.00000001473,1240.39,108560
1240.4899999999977,109260.00000001537,1240.49,109260
1240.5899999999976,109960,1240.59,109960
1240.6899999999976,110660.00000001665,1240.69,110660
1240.7899999999975,111360.00000001729,1240.79,111360
1240.8899999999974,112060.00000001793,1240.89,112060
1240.9899999999973,112760.00000001857,1240.99,112760
1241.0899999999972,113460.00000001921,1241.09,113460
1241.189999999997,114160.00000001985,1241.19,114160
1241.289999999997,114860.00000002049,1241.29,114860
1241.389999999997,115560.00000002113,1241.39,115560
1241.4899999999968,116260.00000002177,1241.49,116260
1241.5899999999967,116960.00000002241,1241.59,116960
1241.6899999999966,117660.00000002305,1241.69,117660
1241.7899999999966,118360.00000002369,1241.79,118360
1241.8899999999965,119060.00000002433,1241.89,119060
1241.9899999999964,119760.00000002497,1241.99,119760
1242.0899999999963,120460.00000002561,1242.09,120460
1242.1899999999962,121160.00000002625,1242.19,121160
1242.289999999996,121860.00000002689,1242.29,121860
1242.389999999996,122560.00000002753,1242.39,122560
1242.489999999996,123260.00000002817,1242.49,123260
1242.5899999999958,123960.00000002881,1242.59,123960
1242.6899999999957,124660.00000002945,1242.69,124660
1242.7899999999956,125360.0000000301,1242.79,125360
1242.8899999999956,126060.00000003073,1242.89,126060
1242.9899999999955,126760.00000003137,1242.99,126760
1243.0899999999954,127460.00000003201,1243.09,127460
1243.1899999999953,128160.00000003265,1243.19,128160
1243.2899999999952,128860.0000000333,1243.29,128860
1243.389999999995,129560.00000003394,1243.39,129560
1243.489999999995,130260.00000003458,1243.49,130260
1243.589999999995,130960.00000003522,1243.59,130960
1243.6899999999948,131660.00000003586,1243.69,131660
1243.7899999999947,132360.0000000365,1243.79,132360
1243.8899999999946,133060.00000003714,1243.89,133060
1243.9899999999946,133760.00000003778,1243.99,133760
1244.0899999999945,134460.00000003842,1244.09,134460
1244.1899999999944,135160.00000003906,1244.19,135160
1244.2899999999943,135860.0000000397,1244.29,135860
1244.3899999999942,136560.00000004034,1244.39,136560
1244.489999999994,137260.00000004098,1244.49,137260
1244.589999999994,137960.00000004162,1244.59,137960
1244.689999999994,138660.00000004226,1244.69,138660
1244.7899999999938,139360.0000000429,1244.79,139360
1244.8899999999937,140060.00000004354,1244.89,140060
1244.9899999999936,140760.00000004418,1244.99,140760
1245.0899999999936,141460.00000004482,1245.09,141460
1245.1899999999935,142160.00000004546,1245.19,142160
1245.2899999999934,142860.0000000461,1245.29,142860
1245.3899999999933,143560.00000004674,1245.39,143560
1245.4899999999932,144260.00000004738,1245.49,144260
1245.589999999993,144960.00000004802,1245.59,144960
1245.689999999993,145660.00000004866,1245.69,145660
1245.789999999993,146360.0000000493,1245.79,146360
1245.8899999999928,147060.00000004994,1245.89,147060
1245.9899999999927,147760.00000005058,1245.99,147760
1246.0899999999926,148460.00000005122,1246.09,148460
1246.1899999999926,149160.00000005186,1246.19,149160
1246.2899999999925,149860.0000000525,1246.29,149860
1246.3899999999924,150560.00000005314,1246.39,150560
1246.4899999999923,151260.00000005378,1246.49,151260
1246.5899999999922,151960.00000005442,1246.59,151960
1246.689999999992,152660.00000005506,1246.69,152660
1246.789999999992,153360.0000000557,1246.79,153360
1246.889999999992,154060.00000005635,1246.89,154060
1246.9899999999918,154760.00000005699,1246.99,154760
1247.0899999999917,155460.00000005763,1247.09,155460
1247.1899999999916,156160.00000005827,1247.19,156160
1247.2899999999916,156860.0000000589,1247.29,156860
1247.3899999999915,157560.00000005955,1247.39,157560
1247.4899999999914,158260.0000000602,1247.49,158260
1247.5899999999913,158960.00000006083,1247.59,158960
1247.6899999999912,159660.00000006147,1247.69,159660
1247.789999999991,160360.0000000621,1247.79,160360
1247.889999999991,161060.00000006275,1247.89,161060
1247.989999999991,161760.0000000634,1247.99,161760
1248.0899999999908,162460.00000006403,1248.09,162460
1248.1899999999907,163160.00000006467,1248.19,163160
1248.2899999999906,163860.0000000653,1248.29,163860
1248.3899999999906,164560.00000006595,1248.39,164560
1248.4899999999905,165260.0000000666,1248.49,165260
1248.5899999999904,165960.00000006723,1248.59,165960
1248.6899999999903,166660.00000006787,1248.69,166660
1248.7899999999902,167360.0000000685,1248.79,167360
1248.89,168060.00000006915,1248.89,168060
1248.99,168760.0000000698,1248.99,168760
1249.09,169460.00000007043,1249.09,169460
1249.1899999999898,170160.00000007107,1249.19,170160
1249.2899999999897,170860.0000000717,1249.29,170860
1249.3899999999896,171560.00000007235,1249.39,171560
1249.4899999999895,172260,1249.49,172260
1249.5899999999895,172960.00000007363,1249.59,172960
1249.6899999999894,173660.00000007427,1249.69,173660
1249.7899999999893,174360.0000000749,1249.79,174360
1249.8899999999892,175060.00000007555,1249.89,175060
1249.989999999989,175760.0000000762,1249.99,175760
1250.089999999989,176460.00000007683,1250.09,176460
