Elevation (ft),Storage (ac-ft),Elevation (ft),Storage (ac-ft)
1225.62,28300,1225.62,28300
1225.63,28340,1225.63,28340
1225.64,28380,1225.64,28380
1225.65,28420,1225.65,28420
1225.66,28470,1225.66,28470
1225.68,28550,1225.68,28550
1225.7,28630,1225.7,28630
1225.71,28670,1225.71,28670
1225.76,28880,1225.76,28880
1225.77,28920,1225.77,28920
1225.78,28960,1225.78,28960
1225.8,29050,1225.8,29050
1225.81,29090,1225.81,29090
1225.83,29170,1225.83,29170
1225.84,29210,1225.84,29210
1225.86,29290,1225.86,29290
1225.87,29340,1225.87,29340
1225.89,29420,1225.89,29420
1225.93,29580,1225.93,29580
1225.94,29630,1225.94,29630
1225.96,29710,1225.96,29710
1225.97,29750,1225.97,29750
1225.99,29830,1225.99,29830
1226,29870,1226,29870
1226.03,30000,1226.03,30000
1226.04,30040,1226.04,30040
1226.06,30120,1226.06,30120
1226.07,30160,1226.07,30160
1226.08,30210,1226.08,30210
1226.1,30290,1226.1,30290
1226.12,30370,1226.12,30370
1226.14,30450,1226.14,30450
1226.15,30500,1226.15,30500
1226.16,30540,1226.16,30540
1226.19,30660,1226.19,30660
1226.2,30700,1226.2,30700
1226.22,30790,1226.22,30790
1226.23,30830,1226.23,30830
1226.24,30870,1226.24,30870
1226.26,30950,1226.26,30950
1226.27,30990,1226.27,30990
1226.29,31080,1226.29,31080
1226.32,31200,1226.32,31200
1226.33,31240,1226.33,31240
1226.34,31280,1226.34,31280
1226.35,31320,1226.35,31320
1226.36,31370,1226.36,31370
1226.37,31410,1226.37,31410
1226.39,31490,1226.39,31490
1226.42,31610,1226.42,31610
1226.43,31660,1226.43,31660
1226.45,31740,1226.45,31740
1226.46,31780,1226.46,31780
1226.47,31820,1226.47,31820
1226.48,31860,1226.48,31860
1226.49,31900,1226.49,31900
1226.51,31990,1226.51,31990
1226.52,32030,1226.52,32030
1226.53,32070,1226.53,32070
1226.54,32110,1226.54,32110
1226.56,32190,1226.56,32190
1226.58,32280,1226.58,32280
1226.59,32320,1226.59,32320
1226.6,32360,1226.6,32360
1226.61,32400,1226.61,32400
1226.64,32530,1226.64,32530
1226.65,32570,1226.65,32570
1226.67,32650,1226.67,32650
1226.68,32690,1226.68,32690
1226.73,32900,1226.73,32900
1226.74,32940,1226.74,32940
1226.76,33020,1226.76,33020
1226.77,33060,1226.77,33060
1226.78,33110,1226.78,33110
1226.79,33150,1226.79,33150
1226.8,33190,1226.8,33190
1226.81,33230,1226.81,33230
1226.82,33270,1226.82,33270
1226.83,33310,1226.83,33310
1226.84,33350,1226.84,33350
1226.85,33400,1226.85,33400
1226.86,33440,1226.86,33440
1226.87,33480,1226.87,33480
1226.88,33520,1226.88,33520
1226.89,33560,1226.89,33560
1226.9,33600,1226.9,33600
1226.91,33650,1226.91,33650
1226.93,33730,1226.93,33730
1226.94,33770,1226.94,33770
1226.95,33810,1226.95,33810
1226.96,33850,1226.96,33850
1226.97,33890,1226.97,33890
1226.98,33940,1226.98,33940
1226.99,33980,1226.99,33980
1227.01,34060,1227.01,34060
1227.03,34140,1227.03,34140
1227.04,34180,1227.04,34180
1227.05,34230,1227.05,34230
1227.06,34270,1227.06,34270
1227.07,34310,1227.07,34310
1227.08,34350,1227.08,34350
1227.1,34430,1227.1,34430
1227.11,34470,1227.11,34470
1227.12,34520,1227.12,34520
1227.13,34560,1227.13,34560
1227.15,34640,1227.15,34640
1227.16,34680,1227.16,34680
1227.17,34720,1227.17,34720
1227.19,34810,1227.19,34810
1227.2,34850,1227.2,34850
1227.21,34890,1227.21,34890
1227.22,34930,1227.22,34930
1227.23,34970,1227.23,34970
1227.24,35010,1227.24,35010
1227.25,35050,1227.25,35050
1227.26,35100,1227.26,35100
1227.27,35140,1227.27,35140
1227.29,35220,1227.29,35220
1227.3,35260,1227.3,35260
1227.31,35300,1227.31,35300
1227.32,35340,1227.32,35340
1227.33,35390,1227.33,35390
1227.34,35430,1227.34,35430
1227.37,35550,1227.37,35550
1227.38,35590,1227.38,35590
1227.41,35720,1227.41,35720
1227.43,35800,1227.43,35800
1227.44,35840,1227.44,35840
1227.45,35880,1227.45,35880
1227.46,35920,1227.46,35920
1227.47,35970,1227.47,35970
1227.48,36010,1227.48,36010
1227.5,36090,1227.5,36090
1227.52,36170,1227.52,36170
1227.54,36260,1227.54,36260
1227.55,36300,1227.55,36300
1227.57,36380,1227.57,36380
1227.58,36420,1227.58,36420
1227.59,36460,1227.59,36460
1227.61,36550,1227.61,36550
1227.62,36590,1227.62,36590
1227.63,36630,1227.63,36630
1227.65,36710,1227.65,36710
1227.66,36750,1227.66,36750
1227.67,36790,1227.67,36790
1227.68,36840,1227.68,36840
1227.69,36880,1227.69,36880
1227.7,36920,1227.7,36920
1227.71,36960,1227.71,36960
1227.72,37000,1227.72,37000
1227.73,37040,1227.73,37040
1227.75,37130,1227.75,37130
1227.76,37170,1227.76,37170
1227.78,37250,1227.78,37250
1227.79,37290,1227.79,37290
1227.8,37330,1227.8,37330
1227.81,37370,1227.81,37370
1227.82,37420,1227.82,37420
1227.84,37500,1227.84,37500
1227.85,37540,1227.85,37540
1227.86,37580,1227.86,37580
1227.87,37620,1227.87,37620
1227.88,37660,1227.88,37660
1227.91,37790,1227.91,37790
1227.92,37830,1227.92,37830
1227.93,37870,1227.93,37870
1227.95,37950,1227.95,37950
1227.96,38000,1227.96,38000
1227.97,38040,1227.97,38040
1227.98,38080,1227.98,38080
1227.99,38120,1227.99,38120
1228,38160,1228,38160
1228.01,38200,1228.01,38200
1228.02,38240,1228.02,38240
1228.03,38290,1228.03,38290
1228.04,38330,1228.04,38330
1228.05,38370,1228.05,38370
1228.06,38410,1228.06,38410
1228.07,38450,1228.07,38450
1228.08,38490,1228.08,38490
1228.09,38530,1228.09,38530
1228.1,38580,1228.1,38580
1228.12,38660,1228.12,38660
1228.14,38740,1228.14,38740
1228.15,38780,1228.15,38780
1228.16,38830,1228.16,38830
1228.17,38870,1228.17,38870
1228.18,38910,1228.18,38910
1228.19,38950,1228.19,38950
1228.2,38990,1228.2,38990
1228.21,39030,1228.21,39030
1228.22,39070,1228.22,39070
1228.23,39120,1228.23,39120
1228.24,39160,1228.24,39160
1228.25,39200,1228.25,39200
1228.26,39240,1228.26,39240
1228.27,39280,1228.27,39280
1228.28,39320,1228.28,39320
1228.29,39360,1228.29,39360
1228.31,39450,1228.31,39450
1228.32,39490,1228.32,39490
1228.33,39530,1228.33,39530
1228.34,39570,1228.34,39570
1228.35,39610,1228.35,39610
1228.36,39650,1228.36,39650
1228.37,39700,1228.37,39700
1228.38,39740,1228.38,39740
1228.39,39780,1228.39,39780
1228.4,39820,1228.4,39820
1228.41,39860,1228.41,39860
1228.42,39900,1228.42,39900
1228.43,39940,1228.43,39940
1228.44,39990,1228.44,39990
1228.46,40070,1228.46,40070
1228.47,40110,1228.47,40110
1228.48,40150,1228.48,40150
1228.5,40230,1228.5,40230
1228.51,40280,1228.51,40280
1228.53,40360,1228.53,40360
1228.54,40400,1228.54,40400
1228.55,40440,1228.55,40440
1228.56,40480,1228.56,40480
1228.57,40520,1228.57,40520
1228.58,40570,1228.58,40570
1228.59,40610,1228.59,40610
1228.6,40650,1228.6,40650
1228.61,40690,1228.61,40690
1228.62,40730,1228.62,40730
1228.63,40770,1228.63,40770
1228.64,40810,1228.64,40810
1228.65,40860,1228.65,40860
1228.66,40900,1228.66,40900
1228.67,40940,1228.67,40940
1228.68,40980,1228.68,40980
1228.69,41020,1228.69,41020
1228.7,41060,1228.7,41060
1228.71,41100,1228.71,41100
1228.72,41150,1228.72,41150
1228.73,41190,1228.73,41190
1228.74,41230,1228.74,41230
1228.75,41270,1228.75,41270
1228.76,41310,1228.76,41310
1228.77,41350,1228.77,41350
1228.78,41390,1228.78,41390
1228.8,41480,1228.8,41480
1228.81,41520,1228.81,41520
1228.82,41560,1228.82,41560
1228.84,41640,1228.84,41640
1228.85,41680,1228.85,41680
1228.86,41730,1228.86,41730
1228.87,41770,1228.87,41770
1228.88,41810,1228.88,41810
1228.89,41850,1228.89,41850
1228.9,41890,1228.9,41890
1228.91,41930,1228.91,41930
1228.92,41970,1228.92,41970
1228.93,42020,1228.93,42020
1228.94,42060,1228.94,42060
1228.95,42100,1228.95,42100
1228.96,42140,1228.96,42140
1228.97,42180,1228.97,42180
1228.98,42220,1228.98,42220
1228.99,42260,1228.99,42260
1229,42310,1229,42310
1229.01,42350,1229.01,42350
1229.02,42390,1229.02,42390
1229.03,42430,1229.03,42430
1229.04,42470,1229.04,42470
1229.05,42510,1229.05,42510
1229.06,42550,1229.06,42550
1229.07,42600,1229.07,42600
1229.08,42640,1229.08,42640
1229.09,42680,1229.09,42680
1229.1,42720,1229.1,42720
1229.11,42760,1229.11,42760
1229.12,42800,1229.12,42800
1229.13,42840,1229.13,42840
1229.15,42930,1229.15,42930
1229.16,42970,1229.16,42970
1229.17,43010,1229.17,43010
1229.18,43050,1229.18,43050
1229.19,43090,1229.19,43090
1229.2,43130,1229.2,43130
1229.21,43180,1229.21,43180
1229.22,43220,1229.22,43220
1229.23,43260,1229.23,43260
1229.24,43300,1229.24,43300
1229.25,43340,1229.25,43340
1229.26,43380,1229.26,43380
1229.27,43420,1229.27,43420
1229.28,43470,1229.28,43470
1229.29,43510,1229.29,43510
1229.3,43550,1229.3,43550
1229.31,43590,1229.31,43590
1229.32,43630,1229.32,43630
1229.33,43670,1229.33,43670
1229.34,43710,1229.34,43710
1229.35,43760,1229.35,43760
1229.36,43800,1229.36,43800
1229.37,43840,1229.37,43840
1229.38,43880,1229.38,43880
1229.39,43920,1229.39,43920
1229.4,43960,1229.4,43960
1229.41,44010,1229.41,44010
1229.42,44050,1229.42,44050
1229.43,44090,1229.43,44090
1229.44,44130,1229.44,44130
1229.45,44170,1229.45,44170
1229.46,44210,1229.46,44210
1229.47,44250,1229.47,44250
1229.48,44300,1229.48,44300
1229.49,44340,1229.49,44340
1229.5,44380,1229.5,44380
1229.51,44420,1229.51,44420
1229.52,44460,1229.52,44460
1229.53,44500,1229.53,44500
1229.54,44540,1229.54,44540
1229.55,44590,1229.55,44590
1229.56,44630,1229.56,44630
1229.57,44670,1229.57,44670
1229.58,44710,1229.58,44710
1229.59,44750,1229.59,44750
1229.6,44790,1229.6,44790
1229.61,44830,1229.61,44830
1229.62,44880,1229.62,44880
1229.63,44920,1229.63,44920
1229.64,44960,1229.64,44960
1229.65,45000,1229.65,45000
1229.66,45040,1229.66,45040
1229.67,45080,1229.67,45080
1229.68,45120,1229.68,45120
1229.69,45170,1229.69,45170
1229.7,45210,1229.7,45210
1229.71,45250,1229.71,45250
1229.72,45290,1229.72,45290
1229.73,45330,1229.73,45330
1229.74,45370,1229.74,45370
1229.76,45460,1229.76,45460
1229.77,45500,1229.77,45500
